Date,Max_Air_temperature,Min_Air_temperature,Mean_Air_temperature,Max_Relative_humidity,Min_Relative_humidity,Mean_Relative_humidity,Max_Soil_temperature,Min_Soil_temperature,Mean_Soil_temperature,Max_Air pressure,Min_Air_pressure,Mean_Air_pressure,Max_Wind_speed,Min_Wind_speed,Mean_Wind_speed,Rainfall,Max_Solar_radiation,Min_Solar_radiation,Mean_Solar_radiation,Max_Wind_direction,Min_Wind_direction,Mean_Wind_direction
2025-01-01,18.653,5.1032,12.45730938,85.829,25.19,50.9305,29.487,10.771,18.15747917,859.02,855.71,857.275625,3.1691,0,0.833087917,0,1.3457,0.00441,0.277006522,337.35,24.146,149.4989063
2025-01-02,19.193,2.2939,11.34480313,59.658,29.906,41.27963542,27.795,7.931,16.38581354,859.68,856.93,858.1891667,3.2,0,1.4341875,0,0.03525,0.00441,0.014983333,298.91,42.517,138.0799792
2025-01-03,21.961,3.9135,13.54214688,61.916,22.704,38.33957292,29.843,8.8637,17.57307917,859.54,856.66,857.80875,3.0707,0,0.740682604,0,0.04847,0.00441,0.018359444,343.79,25.002,136.1463125
2025-01-04,23.193,6.624,15.25724479,65.065,26.113,42.77808333,31.22,10.081,18.57332292,858.61,855.4,856.751875,2.7391,0,0.737342292,0,0.01765,0.00441,0.008477692,246.03,33.783,133.1424063
2025-01-05,24.253,7.2169,16.21244375,84.76,25.265,51.8845625,31.987,10.95,19.55795833,856.53,853.55,854.8721875,6.0368,0,1.797625208,0,0.03084,0.00441,0.012061053,266.93,61.979,197.1796771
2025-01-06,21.168,12.273,16.03222917,89.952,39.739,71.2348125,27.569,14.232,17.60113542,854.92,851.73,853.0907292,8.857,0,3.403858646,0.762,5.5096,0.00441,1.9178325,294.71,117.2,193.6617708
2025-01-07,20.792,8.8756,14.83883542,89.957,41.749,72.43079167,23.725,11.356,16.61064583,857.03,853.87,855.3055208,5.2508,0,1.37777625,0.762,1.7468,0.00441,0.297198438,345.65,36.469,185.3547188
2025-01-08,18.989,6.0707,12.02333333,88.465,39.243,64.73394792,21.852,10.615,15.13538542,858.3,854.23,856.3259375,3.4724,0,1.289961354,0.508,2.3605,0.00441,0.432855789,333.34,32.72,180.2274688
2025-01-09,21.355,4.0007,12.44280521,88.6,31.93,61.6040625,23.113,8.2741,14.82559479,856.24,852.22,854.5238542,5.2329,0,1.076297188,0.254,1.315,0.00441,0.237805714,337.78,65.581,207.6517813
2025-01-10,20.238,8.8358,15.00178333,85.957,51.205,71.84658333,23.172,10.974,15.53967708,855.68,852.62,854.1409375,6.5684,0,2.420226146,0.508,7.0979,0.00441,0.752475862,296.18,100.9,187.5519792
2025-01-11,21.895,10.837,15.955875,88.478,43.24,74.8814375,25.089,10.932,16.83867708,855.81,852.68,854.5490625,6.4162,0,1.88903375,0.254,6.2284,0.00441,0.531568485,351,51.42,190.6320313
2025-01-12,18.13,10.83,14.35296875,90.273,48.135,69.08410417,21.863,13.183,16.41817708,857.22,854.15,855.4403125,2.1886,0,0.470516771,0.254,4.0092,0.00441,0.559280278,344.76,26.617,122.5961458
